total_eval,generation,candidate_in_gen,stage_name,species_id,complexity,is_champion,batch_size,dropout_rate,hidden_units,l2_reg,learning_rate,min_delta,num_hidden_layers,positional_encoding,use_log1p_features,window_size,fitness,train_mcc,train_f1,val_mcc,val_f1,test_mcc,test_f1,champion_fitness
265,18,9,refinement,,10,0,38,0.2123701821354295,106,0.0004684536651669134,0.0005423214232444702,8.587031402211054e-07,3,True,,56,0.25664114,0.657090,0.477090,0.549149,0.392302,0.451819,0.261100,0.43195906
266,18,10,refinement,,10,0,57,0.09986134102079627,182,1e-07,0.0005596641122990796,8.587031402211054e-07,3,False,,137,0.41276416,0.737179,0.390485,0.704598,0.427617,0.427035,0.279459,0.43195906
267,18,11,refinement,1,10,0,42,0.2520465158761481,256,0.00021766280539074005,0.0002411431405197795,8.750163176711506e-07,2,False,,48,0.38712353,0.625461,0.368760,0.585566,0.399366,0.324682,0.254191,0.43195906
268,18,12,refinement,,10,0,40,0.21879550244407384,256,1e-07,0.002291760187300978,8.587031402211054e-07,1,False,,51,0.38794768,0.671671,0.350950,0.642935,0.412613,0.388426,0.249247,0.43195906
269,18,13,refinement,,10,0,64,0.021175858658361135,102,2.6682491819075464e-06,0.004801766257898948,8.587031402211054e-07,2,False,,137,-0.01550910,0.808845,0.604574,0.647701,0.366081,0.672299,0.266055,0.43195906
270,18,14,refinement,,10,0,54,0.09986134102079627,182,1e-07,1e-05,8.587031402211054e-07,3,False,['typical_price'],123,0.38095452,0.561494,0.385618,0.532497,0.377845,0.570412,0.294069,0.43195906
271,19,1,refinement,,10,0,37,0.1307215830549245,170,0.0004684536651669134,4.5987562420598746e-05,1e-06,1,False,,56,0.37785263,0.634027,0.359991,0.594179,0.389761,0.414454,0.275107,0.43195906
272,19,2,refinement,,10,0,64,0.0,182,1e-07,0.0005423214232444702,1e-06,2,False,,58,0.37980979,0.616267,0.354975,0.598131,0.396367,0.290354,0.243442,0.43195906
273,19,3,refinement,,10,0,57,0.04888842445702711,182,1e-07,0.0005423214232444702,8.587031402211054e-07,1,False,,148,0.40917462,0.687567,0.429059,0.657606,0.395918,0.342945,0.260718,0.43195906
274,19,4,refinement,,10,0,64,0.09986134102079627,256,0.00020668954079664325,0.0005596641122990796,8.587031402211054e-07,4,False,,48,0.38677393,0.639152,0.364185,0.571897,0.401833,0.311459,0.258439,0.43195906
275,19,5,refinement,,10,0,64,0.2283362793535346,94,0.0006311214358262729,0.01,1e-06,1,True,,56,0.38782398,0.532156,0.395436,0.496980,0.382749,0.442478,0.306846,0.43195906
276,19,6,refinement,,10,0,16,0.17419682175845347,94,2.6682491819075464e-06,0.002291760187300978,4.911649274965843e-07,1,True,,87,0.38159055,0.566892,0.374068,0.549721,0.386606,0.450824,0.293059,0.43195906
277,19,7,refinement,,10,0,64,0.13557070883593303,94,0.0006311214358262729,0.005324509151871681,1e-06,1,True,,48,0.24238988,0.624539,0.460053,0.521597,0.376336,0.562194,0.301563,0.43195906
278,19,8,refinement,1,10,0,57,0.09986134102079627,182,1e-07,1e-05,5.281273614279345e-07,3,False,,137,0.38353097,0.635407,0.381469,0.625287,0.384906,0.671787,0.296378,0.43195906
279,19,9,refinement,,10,0,60,0.21879550244407384,134,1e-07,0.002291760187300978,4.911649274965843e-07,3,False,,87,0.14617694,0.780998,0.545704,0.658659,0.392040,0.524214,0.267487,0.43195906
280,19,10,refinement,,10,0,16,0.10360122965161182,94,1e-07,1e-05,1e-06,1,False,,137,0.38515214,0.632476,0.368794,0.612644,0.396057,0.466974,0.280581,0.43195906
281,19,11,refinement,,10,0,60,0.21879550244407384,216,0.0002303708478570468,0.002291760187300978,7.458178015961599e-07,1,False,,48,0.38910627,0.633360,0.384530,0.576271,0.392157,0.344270,0.263071,0.43195906
282,19,12,refinement,1,10,0,40,0.13258364929803368,182,0.00017841379328181512,0.0005423214232444702,8.587031402211054e-07,3,False,,113,0.30054692,0.688089,0.442175,0.593537,0.387703,0.334851,0.264952,0.43195906
283,19,13,refinement,,10,0,60,0.21879550244407384,174,2.6682491819075464e-06,0.002291760187300978,4.911649274965843e-07,1,False,,128,0.38224518,0.597126,0.404640,0.535163,0.367315,0.256881,0.255363,0.43195906
284,19,14,refinement,,10,0,35,0.09986134102079627,216,1e-07,1e-05,6.472382739725977e-07,3,False,['typical_price'],137,0.23827296,0.688424,0.447698,0.623563,0.367150,0.678443,0.289593,0.43195906
